time,time_avg,tc_num,opr
[16.44|8.11|11.53],12.03,1,add
[10.27|14.25|8.71],11.08,2,add
[13.73|24.53|9.46],15.91,3,add
[17.36|19.37|19.35],18.69,1,div
[14.08|19.94|17.16],17.06,2,div
[19.44|14.57|16.25],16.75,3,div
[12.89|12.39|10.45],11.91,1,mul
[9.71|12.7|10.2],10.87,2,mul
[19.55|10.66|15.63],15.28,3,mul
[18.43|14.44|20.84],17.9,1,modexp
[19.38|18.37|29.3],22.35,2,modexp
[21.35|17.36|17.32],18.68,3,modexp
[25.53|25.58|23.01],24.71,1,add;div;mul;modexp
[22.98|22.99|21.26],22.41,2,add;div;mul;modexp
[26.45|19.97|19.9],22.11,3,add;div;mul;modexp
