time,time_avg,key_size
[28453.14|52017.33|51605.57|28556.78|28487.86],37824.14,2048
[320361.67|339461.66|323284.77|321855.87|321628.94],325318.58,4096
[1113002.88|555891.94|1055615.02|1060636.05|1068562.21],970741.62,6144
[2159280.92|2157341.71|2158706.66|2158418.68|2155847.5],2157919.09,8192
[4636355.48|4601779.71|4536664.44|4544278.52|4530497.69],4569915.17,10240
[7671799.42|7662463.58|7663283.6|7667347.07|7664392.41],7665857.22,12288
[11863453.9|11857519.69|11907042.6|11894429.54|11992489.6],11902987.07,14336
[15316073.09|15241528.36|15209362.85|15261054.42|15205903.65],15246784.47,16384
[12362119.83|12570551.19|12367161.46|12345664.28|12319387.75],12392976.9,18432
[16641495.16|16649072.69|16981770.46|16743579.74|16702062.59],16743596.13,20480
